lastname,firstname,screenname,user_id
Kotré,Steffen,steffenkotre,912223443231428609
Lehmann,Sylvia,lehmannspd,2320712427
Preuß,Carsten,carsten_preuss,932930248651542528
Kalinka,Gerhard,gkalinka,54539198
Möller,Wilko,wilko_moeller,888151168765100034
Papendieck,Mathias,m_papendieck,1673859822
Kunath,Stefan,stefan_kunath,1408382792766005249
Münschke,Daniel,danielmuenschke,215236126
Wallstein,Maja Scarlett,krawallstein,2423392771
Görke,Christian,chr_goerke,2669131375
Schieritz,Laura,laura_schieritz,1216808702352728064
Schinowsky,Heide,schinowsky,16210314
Wolf,Silvio,afd_wk_65,826028745370849283
Neumann,Fritz Walter Martin,_martinneumann,974589289689427968
Neumann,Paul-Philipp,ppneumanneu,1370434895374323712
Höhn,Matthias,matthiashoehn,15686106
Faber,Marcus,marcusfaber,22364234
Laukert,Gregor Thomas,gregorlaukert,1139663376924258304
Weber,Gerry,gerryweberbtw21,1334245117079805958
Schmidt,Jan Wenzel,jws_afd,3321753670
Schliesing,David,dschliesing,1358759207491817475
Kersten,Franziska,kersten68,729399137272213505
Schulte,Mathias,random_faction,1310577361394511872
Brehmer,Heike Martina,heikebrehmermdb,150372237
Stefanowicz,Sören,soeren_afd_harz,1384051554395725827
Berger,Maik,maik_berger_spd,1014908881120751616
Sorge,Tino,tinosorge,110385973
Pasemann,Frank,frank_pasemann,1490376331
Scheunchen,Chris,scheunchen,1256179086650748934
Kröber,Martin,martinkroeber,137036352
Horn,Fabian,drfabianhorn1,1357715864129318913
Liebau,Urs Justus Jasper Gregor,ursliebau,1093488058433982474
Müller,Sepp,mueller_sepp,801803127762669568
Mrosek,Andreas,mrosek1958,2618890032
Schneider,Leonard,leonard_schn,3399876809
Lemke,Steffi,steffilemke,17229513
Wyszkowski,Frank,frankwyszkowsk1,4843474198
Ziegler,Kay-Uwe,kayuweziegler71,846770487480995841
Korte,Jan,jankortemdb,4164673821
Stamm,Anne,annestamm,356009119
Fiedler,Thorben,thorbenfiedler,1414153018883416066
Schweizer,Hans Jakob Charles,schweizerjakob,1411632574670254083
Bernstiel,Christoph,c_bernstiel,830085678063030273
Sitte,Petra,petra_sitte_mdb,293522998
Diaby,Karamba,karambadiaby,316355056
Stier,Dieter,dieter_stier,1156156982
Reichardt,Martin,m_reichardt_afd,2545743991
Bull-Bischoff,Birke,birke_bull,81394072
Sonntag,Carsten,carstensonntag,3375628955
Schweiger,Torsten,cdu_schweiger,2758602415
Farle,Robert,robert_farle,2958611710
Bodtke,Ingo,ingobodtke,3418642394
Erdmann,Mika-Sören,mikaerdmann2411,960934518713737218
Klein,Ottilie Paola,ottilie_klein,728577706489720832
Neise,Martin,martinneise,1357080002332938240
Klose,Annika Gisela,anniklose,1460753227
Steinmüller,Hanna,hansteinmueller,1091742295572000769
Storch,Beatrix,beatrix_vstorch,805308596
Kryszan,Anna,annakryszan,919145347884175360
Wolf,Udo,udowolfmda,3240319751
Mindrup,Klaus,klausmindrup,845282647261761536
Gelbhaar,Stefan,stefangelbhaar,426582569
Frömming,Götz,gtzfrmming,809895794
Kluckert,Daniela Kathrin,danielakluckert,28327765
Taş,Hakan,hakantasberlin,434158517
Einstmann,Torsten,teinstmann,1327989354304778246
Schwarz,Bernd,bernd_schwarz11,1729349454
Ohnesorge,Friedrich Jan,fritzohnesorge,708530767392075776
Chialo,Joe,chialojoe,3158649058
Sommer,Helin Evrim,hesommer,143882918
Kleebank,Helmut,helmut_kleebank,4185556127
Laube,Steffen,deinepanik,1237167104337551360
Garnis,Lukas,lukasgarnis,787324660702666752
